video_id,internal_split,official_video_folder,video_path,video_hash,extraversion,agreeableness,conscientiousness,neuroticism,openness,interview,total_sampled_frames,face_detection_rate,overall_eye_contact_ratio,head_yaw_stability_std_deg,head_pitch_stability_std_deg,multiple_faces_detected_frame_count,top_emotion_overall,emotion_neutral,emotion_happy,emotion_sad,emotion_angry,emotion_fear,emotion_surprise,emotion_disgust
7GRC7XjGzX8.001.mp4,train,train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\7GRC7XjGzX8.001.mp4,5c0cf20ad16ffe90,0.6542056074766356,0.7362637362637363,0.7669902912621359,0.6770833333333334,0.8555555555555554,0.7009345794392522,31,1.0,0.0968,26.589,3.556,0,happy,0.3551,0.5066,0.0029,0.1225,0.001,0.0076,0.0011
Kmrd1MsZKmQ.000.mp4,train,train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\Kmrd1MsZKmQ.000.mp4,02f1dc2190a9244e,0.5140186915887851,0.5604395604395604,0.4563106796116505,0.5,0.6444444444444444,0.5327102803738317,31,0.9677,0.4333,9.597,8.343,0,happy,0.0392,0.7432,0.0641,0.0819,0.0476,0.009,0.0093
uMCRfie1lkc.001.mp4,train,train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\uMCRfie1lkc.001.mp4,4005c67bdd173632,0.29906542056074764,0.4725274725274725,0.6019417475728155,0.5208333333333334,0.5222222222222223,0.4579439252336448,31,0.9677,0.7,9.655,1.565,0,neutral,0.6848,0.2602,0.0051,0.0358,,0.0088,0.001
rrdSLfnU2pg.000.mp4,train,train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\rrdSLfnU2pg.000.mp4,bd3d41943226ff06,0.28037383177570097,0.5274725274725275,0.33980582524271846,0.4166666666666667,0.4,0.29906542056074764,31,0.9677,0.2667,9.814,2.044,0,angry,0.117,0.2993,0.0227,0.3107,0.2202,0.0194,
IL5VgGakSNw.005.mp4,train,train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\IL5VgGakSNw.005.mp4,944f5a125986c44d,0.37383177570093457,0.5714285714285714,0.7087378640776699,0.5833333333333333,0.6333333333333333,0.5700934579439252,31,0.9677,0.2333,12.423,2.392,0,neutral,0.8602,0.0519,0.0349,0.0105,0.0406,0.0001,
3WoXkI06zGk.001.mp4,train,train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\3WoXkI06zGk.001.mp4,92c94ec7e8c980b9,0.28037383177570097,0.4725274725274725,0.42718446601941745,0.3020833333333333,0.5222222222222223,0.3925233644859813,32,0.9688,0.9355,5.12,4.22,0,neutral,0.5606,0.1933,0.2277,0.006,0.0069,0.002,0.0008
CwmjP27fivQ.005.mp4,train,train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\CwmjP27fivQ.005.mp4,5860d5795b07b0bb,0.6728971962616823,0.6593406593406592,0.7281553398058251,0.7291666666666667,0.6777777777777777,0.7009345794392522,31,0.9677,0.3667,22.34,8.068,0,neutral,0.504,0.2555,0.0859,0.0865,0.0642,0.001,
grhDDOLsBho.000.mp4,train,train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\grhDDOLsBho.000.mp4,2820225991c9ec30,0.48598130841121495,0.5714285714285714,0.23300970873786406,0.53125,0.5555555555555556,0.3457943925233644,31,0.9677,0.7,18.148,10.14,0,happy,0.2702,0.6677,0.0017,0.0273,0.0037,0.0256,0.0009
n2BuwHbdilY.002.mp4,train,train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\n2BuwHbdilY.002.mp4,1d35268d52621d95,0.4953271028037384,0.6593406593406592,0.6796116504854369,0.5833333333333333,0.6444444444444444,0.6355140186915886,31,0.9677,0.7,15.472,1.959,0,neutral,0.9361,0.0332,0.0021,0.0012,0.0002,0.0238,0.0012
JxxF9y61ujA.005.mp4,train,train,C:\Users\athas\Downloads\Chalearn\first-impressions\train\JxxF9y61ujA.005.mp4,af8a8b51b8c5eb90,0.47663551401869164,0.5934065934065933,0.5242718446601942,0.6458333333333333,0.6,0.616822429906542,31,0.9677,0.2667,12.926,3.509,0,angry,0.0941,0.1983,0.2075,0.433,0.0496,0.0023,0.0069
